mir,sapiens,denisovan,altai,vindja,chag,DiffSapDen,DiffSapVin,DiffSapAlt,DiffDenVin,DiffDenAlt,DiffAltVin,DiffSapCha,DiffVinCha,DiffDenCha,DiffAltCha
miR-5581-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4786-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6866-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6864-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-891a-3p,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
miR-6784-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4436b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5583-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6507-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6757-5p,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-562,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4512,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-548h-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1322,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4505,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
miR-1236-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6733-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-411-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-892a,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-4330,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-509-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-633,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4474-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-487b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3152-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-3605-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-3160-3p,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-4773,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-6861-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-676-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-4705,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-4718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-8069,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-3124-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-380-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-3155b,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-5694,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-1306-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
